name,txt,ph_seq,ph_dur,ph_num,note_seq,note_dur,comments
000017,Love was a promise made of smoke in a frozen copse of trees,SP l ɐ v ʋ ɒ z a p ɹ ɑ mʲ ɪ s m e d ɒ v s m əw k SP i n a f ɹ əw z ə n k ɒ p s ɒ v t ɹ iː z SP,0.5 0.08 1.22 0.03 0.03 0.03 0.06 0.14 0.11 0.04 0.19 0.06 0.19 0.08 0.1 0.23 0.03 0.1 0.03 0.15 0.07 0.37 0.04 0.53 0.07 0.03 0.22 0.13 0.04 0.74 0.07 0.25 0.06 0.1 0.22 0.07 0.1 0.08 0.05 0.07 0.1 2.13 0.3 0.35,1 3 3 1 6 3 2 4 1 2 1 6 4 2 4 1,rest F#3 A3 A3 G3 A3 G3 A3 G3 G3 G3 A3 rest G3 G3 A3 G3 G3 G3 A3 G3 G3 F3 rest,0.580499 0.16254 0.905578 0.301859 0.267029 0.290249 0.348299 0.25542 0.301859 0.05805 0.10449 0.325079 0.580499 0.383129 0.17415 0.325079 0.18576 0.18576 0.394739 0.383129 0.20898 0.406349 1.857596 0.603719,
000018,A bone cold and older than our bodies slowly floating in the sea,SP a b əw n k oː l ɖ a n əw ɫ d ə d̪ a n a b ɑ dʲ i z s l əw ʎ i f l əw tʲ ɪ ŋ i n ð a s iː SP,0.59 0.33 0.15 0.69 0.09 0.05 0.32 0.04 0.03 0.14 0.06 0.34 0.03 0.03 0.18 0.06 0.2 0.05 0.2 0.09 0.76 0.04 0.11 0.05 0.07 0.07 0.22 0.1 0.08 0.1 0.08 0.59 0.03 0.03 0.03 0.21 0.07 0.04 0.42 0.16 1.81 0.18,1 1 3 4 2 4 3 1 5 5 6 2 2 2 1,rest C#3 A3 A3 G3 A3 G3 G3 A3 G3 G3 A3 G3 A3 G3 G#3 A3 G3 G3 A3 G3 F#3 G3 F3 rest,0.638549 0.429569 0.835918 0.383129 0.19737 0.25542 0.15093 0.2322 0.267029 0.278639 0.313469 0.487619 0.24381 0.325079 0.24381 0.17415 0.24381 0.278639 0.371519 0.301859 0.278639 0.13932 0.278639 1.369977 0.20898,
000019,Every morning there were planes the shiny blades of pagan angels in our father's skies,SP ɛ ɹ i m ɒ ɹ ɲ ɪ ŋ ð ɚ ʋ ə p l e n z ð a ʃ aj ɲ i b l e d z ɒ v p ə ɡ ɑː n e n dʒ ɛ ɫ z i n a f a ð a z s c aj z SP,0.44 0.3 0.21 0.03 0.11 0.21 0.14 0.05 0.08 0.1 0.05 0.25 0.04 0.16 0.11 0.13 0.41 0.18 0.04 0.04 0.06 0.17 0.3 0.06 0.13 0.06 0.11 0.65 0.05 0.03 0.06 0.1 0.05 0.26 0.07 0.05 0.16 0.25 0.09 0.06 0.06 0.16 0.09 0.21 0.1 0.16 0.17 0.21 0.07 0.15 0.09 0.07 0.09 1.53 0.03 0.63,1 3 6 2 2 5 2 4 5 2 5 6 2 1 5 4 1,rest D#3 D3 D#3 D#3 D#3 D#3 D#3 D3 D#3 D#3 D3 D3 D#3 D#3 D#3 D3 D#3 D3 D#3 D3 D#3 G3 F3 G3 F3 rest,0.510839 0.359909 0.22059 0.394739 0.2322 0.290249 0.290249 0.766259 0.24381 0.348299 0.20898 0.10449 0.24381 0.487619 0.22059 0.313469 0.20898 0.406349 0.313469 0.290249 0.348299 0.267029 0.417959 0.1161 0.325079 1.300317 0.441179,
000020,Every evening I would watch her hold the pillow tight against her hollows her unholy child,SP ɛ ɹ i ɛ v ɛ ɲ i ŋ ɡ aj a d ʋ ɒ tʃ a h əw ɫ d ð a p ɪ l oː ʈ aj ʈ a ɡ ɛ i n s t a h ɒ l əw z a ɐ n h əw ʎ i tʃ aj ɫ d SP,0.48 0.17 0.38 0.31 0.04 0.03 0.03 0.06 0.17 0.01 0.03 0.19 0.23 0.03 0.1 0.21 0.12 0.25 0.12 0.09 0.18 0.03 0.05 0.08 0.15 0.16 0.09 0.36 0.14 0.37 0.03 0.11 0.09 0.16 0.03 0.03 0.04 0.1 0.18 0.09 0.2 0.06 0.24 0.1 0.31 0.15 0.07 0.11 0.24 0.13 0.45 0.17 1.01 0.03 0.03 0.46,1 3 7 1 2 3 1 4 2 4 3 7 1 5 1 6 4 1,rest D3 D3 D#3 D3 D3 D3 D3 D3 D#3 D3 D#3 D3 C#3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 C3 A2 rest,0.522449 0.383129 0.19737 0.394739 0.20898 0.301859 0.278639 0.301859 0.336689 0.383129 0.2322 0.22059 0.534059 0.15093 0.25542 0.19737 0.348299 0.25542 0.267029 0.383129 0.290249 0.301859 0.383129 0.615329 0.371519 0.789478 0.383129,
000021,I was still a beggar shaking out my stolen coat among the angry cemetery leaves,SP aj ʋ ɒ z s tʲ i ɫ a b ɛ ɡ a ʃ e c i ŋ ɡ aw t m ɑ s t əw l ə n k oː ʈ a m ɔ ŋ ɡ ð a a ɲ ɟ ɹ i s ɛ m a t ɹ i ʎ iː v z SP,0.47 0.33 0.05 0.11 0.04 0.07 0.09 0.18 0.25 0.03 0.13 0.24 0.05 0.11 0.18 0.22 0.08 0.27 0.01 0.03 0.23 0.03 0.1 0.13 0.14 0.09 0.23 0.07 0.08 0.15 0.11 0.41 0.03 0.06 0.16 0.16 0.13 0.03 0.03 0.25 0.12 0.14 0.03 0.07 0.09 0.18 0.16 0.07 0.07 0.13 0.33 0.12 0.14 3.28 0.18 0.13 0.42,1 1 3 4 1 4 6 2 2 6 3 5 2 5 7 4 1,rest D3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 F3 F3 rest,0.522449 0.325079 0.313469 0.336689 0.267029 0.267029 0.290249 0.313469 0.301859 0.359909 0.359909 0.301859 0.348299 0.325079 0.325079 0.336689 0.2322 0.325079 0.348299 0.22059 0.22059 0.313469 0.267029 3.471383 0.534059,
000022,When they caught the king beneath the borrowed car righteous drunk and fumbling for the royal keys,SP ʋ ɛ n ð e k ɒː ʈ ð a c ɪ ŋ b ɛ ɲ iː θ ð a b ɒ ɹ əw d k ɑː ɹ aj tʃ ə s d ɹ ɐ ŋ k a n f ɐ m b ʎ ɪ ŋ f a ð a ɹ ɔj a ɫ SP c iː z SP,0.61 0.09 0.16 0.12 0.03 0.13 0.11 0.25 0.13 0.04 0.07 0.15 0.19 0.17 0.03 0.07 0.14 0.2 0.07 0.06 0.12 0.19 0.13 0.16 0.14 0.12 0.1 0.4 0.35 0.29 0.13 0.09 0.06 0.09 0.06 0.16 0.03 0.06 0.04 0.11 0.12 0.19 0.05 0.03 0.07 0.11 0.1 0.1 0.28 0.08 0.1 0.13 0.43 0.15 0.9 0.04 0.1 2.77 0.04 0.39,1 3 2 3 2 3 5 2 5 2 5 5 2 7 2 2 4 1 3 1,rest D#3 D3 D#3 D#3 D#3 D3 D#3 D3 D#3 D3 D3 D#3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D#3 F3 F3 F3,0.696599 0.301859 0.267029 0.394739 0.2322 0.383129 0.19737 0.325079 0.336689 0.267029 0.383129 0.17415 0.557279 0.429569 0.25542 0.301859 0.267029 0.278639 0.371519 0.348299 0.22059 0.371519 0.441179 0.835918 2.496145 0.696599,
000023,[vocalizing],,,,,,
000024,[vocalizing],,,,,,
000025,[vocalizing],,,,,,
000026,[vocalizing],,,,,,
000027,[vocalizing],,,,,,
000028,[vocalizing],,,,,,
000029,Love was a father's flag and sung like a shank in a cake on our leather boots,SP l ɐ v ʋ ɒ z SP a SP f a ð a z f l a ɡ a n s ɐ ŋ l aj k a SP ʃ a ŋ k i n a c eː k a n a l ɛ ð a b uː t s SP,0.05 0.04 0.2 0.03 0.03 0.03 0.03 0.03 1.35 0.08 0.03 0.23 0.07 0.14 0.04 0.07 0.08 0.21 0.05 0.15 0.1 0.03 0.51 0.04 0.2 0.19 0.04 0.69 0.03 0.27 0.6 0.03 0.05 0.14 0.03 0.03 0.17 0.03 0.03 0.14 0.08 0.03 0.03 0.11 0.09 0.03 0.03 1.38 0.03 0.03 0.15,1 3 3 1 1 1 5 4 2 3 3 1 1 4 2 1 3 2 1 4 4 1,rest C3 A3 A3 G3 A3 G3 A3 G3 G3 A3 G3 A3 G#3 A3 G3 G3 A3 G3 A3 G3 A3 G3 G3 F3 rest,0.08127 0.383129 0.824308 0.313469 0.290249 0.301859 0.267029 0.325079 0.278639 0.18576 0.394739 0.18576 0.22059 0.20898 0.16254 0.22059 0.394739 0.24381 0.18576 0.267029 0.359909 0.290249 0.325079 0.301859 1.137778 0.13932,
000030,A beautiful feather floating down to where the birds had shit on empty chapel pews,SP a SP bʲ ʉː tʲ ɪ f ə ɫ f ɛ ð a f l əw tʲ ɪ ŋ d aw n ə ʋ ɛː ð a b aː d z h a d ʃ i t a n ɛ m p tʰ i tʃ a p ə l pʲ uː z SP,0.47 0.91 0.03 0.03 0.03 0.03 0.03 0.03 0.08 0.03 0.03 0.15 0.03 0.03 0.03 0.03 1.15 0.19 0.07 0.43 0.04 0.1 0.12 1.19 0.03 0.23 0.03 0.03 0.03 0.16 0.06 0.03 0.05 0.2 0.06 0.1 0.15 0.06 0.14 0.03 0.03 0.03 0.05 0.04 0.03 0.01 1.57 0.03 0.85 0.03 0.03 0.06 0.08 0.34,1 1 1 7 4 6 3 1 2 2 4 3 3 2 5 5 3 1,rest D#3 D3 D#3 D3 D#3 D3 D#3 D#3 D3 D#3 D3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D#3 D#3 G3 G3 G3 F3 rest,0.499229 0.371519 0.2322 0.371519 0.2322 0.290249 0.301859 0.371519 0.394739 0.25542 0.301859 0.2322 0.20898 0.313469 0.348299 0.2322 0.336689 0.313469 0.290249 0.371519 0.20898 0.325079 0.267029 0.12771 0.487619 1.706667 0.429569,
000031,Every evening she'd descend the mountain stealing socks and singing something good where all the horses fell,SP ɛ ɹ i ɛ v ɛ ɲ i ŋ ɡ ʃ iː d d ɛ s ɛ n d ð a m aw n t ə n s tʲ iː ʎ ɪ ŋ s ɑ k s a n s ɪ ɲ ɪ ŋ s ɐ m p m̩ ɡ ʊ d ʋ ɛː ɑː ɫ ð a SP h ɒ ɹ s ɪ z f ɛ l SP,0.49 0.22 0.23 0.43 0.03 0.03 0.03 0.04 0.1 0.01 0.03 0.12 0.21 0.06 0.03 0.07 0.18 0.21 0.09 0.03 0.03 0.11 0.19 0.2 0.07 0.05 0.07 0.09 0.16 0.1 0.17 0.08 0.07 0.08 0.19 0.23 0.09 0.12 0.05 0.08 0.11 0.04 0.03 0.1 0.2 0.15 0.16 0.06 0.03 0.18 0.03 0.32 0.03 0.06 0.21 0.21 0.06 0.04 0.37 0.03 0.03 0.03 0.04 0.13 0.16 0.11 0.08 0.7 0.3 0.45,1 3 7 3 6 2 6 6 4 2 5 5 3 2 2 2 1 6 3 1,rest D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D#3 D#3 D3 D#3 D3 D3 D#3 D3 D3 D#3 D#3 C3 A2 A2 rest,0.534059 0.336689 0.2322 0.394739 0.267029 0.301859 0.24381 0.336689 0.313469 0.348299 0.417959 0.18576 0.394739 0.429569 0.25542 0.19737 0.325079 0.2322 0.22059 0.12771 0.278639 0.499229 0.301859 0.348299 0.371519 0.348299 0.16254 0.441179 0.476009,
000032,Like a snake within the wilted garden wall I'd hint to her every possibility,SP l aj k a s n e k ʋ ɪ d̪ ɪ n ð a ʋ ɪ l ʈʲ ɪ ɖ ɡ a d ɛ n ʋ ɒː l aj d ç i n t ə a ɛ ɹ i p ɒ s ɪ bʲ ɪ ʎ i ʈʲ i SP,0.48 0.04 0.25 0.1 0.08 0.14 0.08 0.2 0.07 0.05 0.17 0.06 0.16 0.19 0.04 0.13 0.08 0.13 0.15 0.08 0.16 0.08 0.04 0.32 0.03 0.09 0.06 0.03 0.03 0.03 0.64 0.03 0.09 0.21 0.1 0.11 0.97 0.04 0.03 0.03 0.04 0.12 0.22 0.17 0.1 0.13 0.13 0.1 0.08 0.13 1.54 0.45,1 3 1 4 5 2 6 5 3 2 4 1 1 3 10 1,rest D3 D3 D#3 D3 D#3 D3 D#3 D#3 D#3 D3 D#3 D3 D3 D#3 D3 D#3 D#3 D#3 D3 D#3 F3 F3 rest,0.534059 0.336689 0.2322 0.359909 0.25542 0.371519 0.24381 0.348299 0.278639 0.348299 0.17415 0.336689 0.417959 0.10449 0.394739 0.278639 0.673379 0.278639 0.383129 0.24381 0.19737 0.2322 1.555737 0.429569,
000033,While with his gun the pagan angel rose to say My love is one made to break every bended knee [vocalizing],SP ʋ aj l ʋ ɪ d̪ ç i z ɡ ɐ n ð a p ə ɡ ɑː n e n dʒ ɛ ɫ ɹ əw z ə s e m ɑ l ɐ v i z ʋ ɒ n m e d ə b ɹ e k ɛ ɹ i b ɛ n d ɛ d ɲ i SP,0.66 0.13 0.24 0.07 0.05 0.18 0.03 0.03 0.11 0.09 0.03 0.25 0.12 0.05 0.07 0.04 0.03 0.06 0.03 0.03 0.72 0.11 0.05 0.09 0.09 0.13 0.21 0.15 0.07 0.19 0.24 0.08 0.13 0.1 0.37 0.04 0.11 0.05 0.05 0.19 0.15 0.03 0.28 0.09 0.1 0.09 0.08 0.26 0.12 0.2 0.28 0.03 0.08 0.18 0.13 0.04 1.01 0.03 0.19 3.45 4.09,1 3 3 3 3 2 5 5 3 1 2 2 3 2 3 3 1 4 3 6 2 1,rest B2 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D#3 D3 D3 D#3 D#3 D#3 D#3 D3 D#3 D#3 D3 D#3 D#3 F3 F3 rest A#3 C4 C4,0.824308 0.325079 0.24381 0.2322 0.359909 0.267029 0.348299 0.19737 0.394739 0.290249 0.371519 0.25542 0.313469 0.24381 0.16254 0.24381 0.20898 0.371519 0.359909 0.22059 0.452789 0.371519 0.20898 0.348299 0.441179 0.789478 3.482993 0.464399 1.219048 0.19737 2.171066,"exclude:mixed_vocalizing,SNR=2.3,dev=9.8"
000034,[Vocalizing],,,,,,
000035,In our days we will live like our ghosts will live,SP i n SP a d e z ʋ iː ʋ ɪ l l aj v SP l aj k SP a SP ɡ əw s t s ʋ ɪ l l aj v SP,0.47 0.4 2.37 0.43 0.12 0.03 0.42 0.03 0.03 0.43 0.03 0.03 0.15 0.03 0.39 0.07 1.12 0.06 0.33 0.12 0.03 0.63 0.03 0.14 0.5 0.04 0.15 0.05 0.12 0.05 0.14 0.03 0.23 0.39 0.36,1 2 1 1 3 2 3 3 1 3 1 1 1 5 3 3 1,rest F#3 E3 E3 E3 rest F#3 E3 E3 E3 rest D#3 F#3 G#3 G#3 D#3 D#3,0.534059 0.429569 0.18576 0.917188 1.195828 0.487619 0.684989 0.975238 0.708209 0.09288 0.429569 0.441179 0.812698 0.429569 0.359909 0.325079 0.952018,"exclude:low_SNR=5.8,dev=5.6"
000036,Pitching glass at the cornfield crows and folding clothes,p ɪ tʃ ʈʲ ɪ ŋ ɡ l a s SP a t SP ð a SP k ɒː n fʲ i ɫ d k ɹ əw z SP a n f əw ɫ dʲ ɪ ŋ SP k l əw ð z SP,0.09 0.16 0.07 0.06 0.03 0.9 0.03 0.03 0.03 0.03 1.21 0.03 0.03 0.13 0.05 0.03 0.23 0.09 0.48 0.12 0.12 0.35 0.22 0.09 0.08 0.05 1.01 0.1 0.38 0.04 0.07 0.13 0.36 0.03 0.03 0.07 0.85 0.03 0.07 0.04 0.71 0.19 0.03 0.24,6 4 1 2 1 2 1 7 4 1 2 6 1 5 1,rest F#3 E3 E3 E3 rest E3 F#3 E3 E3 rest E3 E3 E3 F#3 D#3 rest,0.10449 0.278639 0.952018 1.509297 0.1161 0.278639 0.2322 0.487619 0.754649 1.079728 0.684989 0.18576 0.2322 0.25542 0.777868 0.952018 0.24381,"exclude:low_SNR=2.8,dev=5.0"
000037,Like stubborn boys across the road,SP l aj k s t ɐ b ə n b ɔj z SP a k ɹ ɔ s ð a ɹ əw d SP,0.49 0.2 0.21 0.04 0.19 0.07 0.31 0.11 0.36 0.42 0.03 1.16 0.09 0.45 0.03 0.05 0.05 0.26 0.11 0.07 0.1 0.1 0.73 0.26 0.3,1 3 6 3 1 5 2 3 1,rest B2 B2 D#3 F#3 E3 E3 rest F#3 F#3 D#3 E3 rest,0.534059 0.17415 0.510839 0.1161 0.290249 0.812698 1.242268 0.545669 0.13932 0.336689 0.25542 1.010068 0.22059,
000038,We'll keep everything,SP ʋ ə l c iː p ɛ ɹ i θ ɪ ŋ SP,0.48 0.05 0.29 0.05 0.11 0.68 0.1 0.68 0.26 0.08 0.18 0.39 0.7 0.45,1 3 3 6 1,rest E3 F#3 G#3 G#3 D#3 D#3 D#3 rest,0.592109 0.394739 0.789478 0.1161 0.278639 0.487619 0.301859 1.114558 0.429569,
000039,Grandma's gun and the black bear claw,SP ɡ ɹ a n m a z ɡ ɐ n a n ð a b l a k b ɛ ɹ k l ɒ SP,0.07 0.04 0.05 0.35 0.08 0.03 0.77 0.1 0.13 0.06 0.03 0.5 1.01 0.03 0.03 0.18 0.06 0.17 0.1 0.1 0.55 0.35 0.13 0.04 0.72 0.35,1 7 3 2 2 4 3 3 1,rest E3 F#3 E3 E3 C3 F#3 E3 E3 rest,0.12771 0.15093 0.325079 1.010068 1.428027 0.429569 0.429569 1.044898 0.882358 0.20898,
000040,That took her dog,SP æ t ʈ ʊ k a d ɑ ɡ SP,0.46 0.07 0.1 0.09 0.21 0.15 0.89 0.14 0.83 0.1 0.4,1 2 3 1 3 1,rest rest E3 E3 F#3 E3 D#3 rest,0.510839 0.20898 0.359909 0.348299 0.673379 0.267029 0.882358 0.19737,
000041,When sister Laurie says Amen We won't hear anything,SP ʋ ɛ n s i s t a l ɒ ɹ i s e z SP a m ɛ n SP ʋ iː ʋ oː n ʈ ç i a ɛ ɲ i fʲ ɪ ŋ SP,0.49 0.03 0.03 0.42 0.08 0.03 0.06 0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.46 0.22 0.25 3.36 0.12 0.34 0.23 0.4 0.04 0.06 0.1 0.26 0.1 0.03 0.03 0.24 1.31 0.04 0.08 0.13 0.11 0.34 0.64 0.15,1 3 5 4 3 1 4 1 2 4 3 6 1,rest B2 E3 F#3 rest E3 E3 F#3 E3 E3 rest E3 F#3 F#3 G#3 D#3 D#3 D#3 rest,0.766259 0.417959 0.17415 0.499229 0.441179 0.359909 1.718277 0.371519 1.021678 0.534059 0.626939 0.406349 0.801088 0.15093 0.313469 0.417959 0.24381 0.963628 0.16254,
